a              b              GF_product_p                  GF_product_t                                      
239            229            10.251998901367188            0.7152557373046875                                
91             73             6.4373016357421875            0.7152557373046875                                
81             81             6.67572021484375              0.95367431640625                                  
67             190            11.205673217773438            0.7152557373046875                                
197            11             4.76837158203125              0.7152557373046875                                
13             68             5.9604644775390625            0.7152557373046875                                
163            199            9.298324584960938             0.7152557373046875                                
9              157            8.821487426757812             0.7152557373046875                                
64             67             5.7220458984375               0.7152557373046875                                
116            80             6.67572021484375              0.7152557373046875                                
225            254            13.589859008789062            0.7152557373046875                                
64             133            6.67572021484375              0.7152557373046875                                
97             73             6.4373016357421875            0.7152557373046875                                
240            93             9.5367431640625               0.7152557373046875                                
82             184            9.5367431640625               0.7152557373046875                                
50             52             7.3909759521484375            0.7152557373046875                                
82             59             8.106231689453125             0.7152557373046875                                
206            152            8.106231689453125             0.7152557373046875                                
41             7              4.291534423828125             0.95367431640625                                  
53             186            10.728836059570312            0.7152557373046875                                
84             59             8.106231689453125             0.7152557373046875                                
103            81             6.67572021484375              0.95367431640625                                  
122            232            10.251998901367188            0.7152557373046875                                
221            172            9.775161743164062             0.7152557373046875                                
248            151            8.821487426757812             0.7152557373046875                                
215            127            11.920928955078125            0.7152557373046875                                
181            88             7.62939453125                 0.95367431640625                                  
27             172            9.5367431640625               0.95367431640625                                  
72             26             5.9604644775390625            0.7152557373046875                                
109            175            10.728836059570312            0.7152557373046875                                
242            46             7.62939453125                 0.7152557373046875                                
112            241            11.444091796875               0.7152557373046875                                
22             129            5.245208740234375             0.7152557373046875                                
54             28             6.4373016357421875            0.95367431640625                                  
90             248            11.682510375976562            0.7152557373046875                                
175            42             6.9141387939453125            0.7152557373046875                                
73             123            10.251998901367188            0.95367431640625                                  
39             51             7.62939453125                 0.7152557373046875                                
110            35             5.245208740234375             0.7152557373046875                                
165            143            8.58306884765625              0.7152557373046875                                
124            22             5.9604644775390625            0.95367431640625                                  
30             84             7.62939453125                 0.7152557373046875                                
187            246            12.159347534179688            0.95367431640625                                  
113            124            10.967254638671875            0.7152557373046875                                
107            34             5.245208740234375             0.7152557373046875                                
45             44             6.9141387939453125            0.95367431640625                                  
193            198            8.821487426757812             0.7152557373046875                                
136            86             8.58306884765625              0.7152557373046875                                
30             146            7.152557373046875             0.7152557373046875                                
208            213            10.728836059570312            0.7152557373046875                                
86             74             6.9141387939453125            0.7152557373046875                                
157            85             7.8678131103515625            0.7152557373046875                                
52             207            10.49041748046875             0.7152557373046875                                
119            22             5.9604644775390625            0.95367431640625                                  
3              225            9.059906005859375             0.7152557373046875                                
243            86             8.58306884765625              0.7152557373046875                                
55             220            10.967254638671875            0.7152557373046875                                
221            198            9.298324584960938             0.7152557373046875                                
97             201            8.58306884765625              0.95367431640625                                  
168            122            11.205673217773438            0.95367431640625                                  
223            112            8.344650268554688             0.7152557373046875                                
142            28             6.4373016357421875            0.95367431640625                                  
84             111            9.775161743164062             0.95367431640625                                  
124            109            10.013580322265625            0.7152557373046875                                
74             20             5.0067901611328125            0.95367431640625                                  
177            3              3.814697265625                0.7152557373046875                                
77             129            5.4836273193359375            0.7152557373046875                                
235            140            7.8678131103515625            0.95367431640625                                  
